series,1980,1990,2000,2010
"Population ages 50-54, female",713951,983263,1140689,1884024
"Population ages 50-54, male",618164,986356,1204813,1949659
"Population ages 55-59, female",598808,817023,1003200,1373580
"Population ages 55-59, male",531883,735237,991419,1397038
"Population ages 60-64, female",447309,631934,938716,1103440
"Population ages 60-64, male",376565,483990,854581,1083598
"Population ages 65-69, female",359413,503803,761132,976275
"Population ages 65-69, male",264214,371165,595189,866896
"Population ages 70-74, female",262773,347562,556983,881599
"Population ages 70-74, male",163891,228834,352822,692670
"Population ages 75-79, female",155706,239202,380706,658050
"Population ages 75-79, male",76773,125631,215554,416829
"Population ages 80 and above, female",131445,206715,336094,674184
"Population ages 80 and above, male",44759,71384,134889,280333
